date,time,username,tweet,link,likes,retweets,replies,mentions,hashtags
2018-01-23,12:41:35,GoTracz,"Mój głos w dyskusji o tym, czy, w jaki sposób i po co jednoczyć lewicę.""Potrzebna jest partnerska i koalicyjna współpraca, otwarta na wszystkich, którzy podzielają podstawowe progresywne i obywatelskie wartości."" @Zieloni  są gotowi na szeroką współpracę. http://bit.ly/2BnYUVq ",https://twitter.com/GoTracz/status/955767464083804160,38,5,9,Zieloni,
2018-01-23,10:42:34,GoTracz,Dziś o godz. 22:00 będziemy razem z @KossakM na drinku u @Perfekcyjnosc 💚🌈🍷☕Czujemy się zaszczyceni i zachęcamy do oglądania na  http://facebook.com/JejPerfekcyjnosc … http://bit.ly/2DDjjec  pic.twitter.com/gVmhmhMere,https://twitter.com/GoTracz/status/955737515092307968,15,3,0,"KossakM,Perfekcyjnosc",
2018-01-21,08:08:57,GoTracz,"Dzień dobry <3Jeszcze we wrocławskim tramwaju, ale już w drodze do Łodzi.Na spotkanie z Zielonymi przyjaciółmi i przyjaciółkami, porozmawiać o mieście, najbliższych działaniach i zielonych planach na przyszłość. Zielone rośnie 🌱Miłej niedzieli! #green #active #travel #Łódź pic.twitter.com/yqGzLw5XrG",https://twitter.com/GoTracz/status/954974077231554560,18,2,0,,"#green,#active,#travel,#Łódź"
2018-01-19,23:09:54,GoTracz,Miłka Stepien - sekretara @Zieloni oraz @GawlikRadoslaw o przyszłości energetyki w Koninie. Bardzo ważny temat zielonej transformacji energetycznej.  Zielone rośnie 🌱💚🌎 https://lajt.lm.pl/aktualnosci/informacja/113512/jak_wyglada_energetyczna_przyszlosc_konina_dyskutowano_o_tym … pic.twitter.com/87jBiFsBDW,https://twitter.com/GoTracz/status/954476033306189825,14,6,1,"Zieloni,GawlikRadoslaw",
2018-01-19,11:38:52,GoTracz,"Wczoraj w Częstochowie razem z Zielonymi, aktywistami i politykami miejskimi rozmawialiśmy o polityce miast ws. zmian klimatu, sytuacji samorządu w Polsce, zielonych ideach, a także o #zielonesejmiki.Bardzo dynamiczne i interaktywne spotkanie. Więcej spotkań już wkrótce! 🌱 pic.twitter.com/12qDTf5vB1",https://twitter.com/GoTracz/status/954302128947949569,18,3,1,,#zielonesejmiki
2018-01-19,01:02:05,GoTracz,@KluczkaOla @MartinSaczek Dziękuję bardzo za spotkanie. Miło było poznać i do szybkiego zobaczenia :),https://twitter.com/GoTracz/status/954141877703467008,5,0,1,"MartinSaczek,KluczkaOla",
2018-01-17,19:37:10,GoTracz,Hi @TerryReintke! Thank you for the umbrella. It's perfect for #blackprotest #CzarnyProtest pic.twitter.com/5TV3yX9iU4,https://twitter.com/GoTracz/status/953697722745442304,42,11,0,TerryReintke,"#blackprotest,#CzarnyProtest"
2018-01-17,18:02:00,GoTracz,The best transparent today! #blackprotest #CzarnyProtest pic.twitter.com/Z9tRnBuEl7,https://twitter.com/GoTracz/status/953673771281469440,163,69,9,,"#blackprotest,#CzarnyProtest"
2018-01-15,14:23:05,GoTracz,"Razem z mieszkańcami i mieszkankami protestowalismy przeciwko wycince kilkuset drzew w Parku Grabiszyńskim. Dziś podejmiemy kolejne kroki. Działać trzeba szybko, bo wycinają kilkudziesięcioletnie zdrowe drzewa!#ratujmyGrabiszyński pic.twitter.com/dWLJieyekM",https://twitter.com/GoTracz/status/952893905393111040,58,20,3,,#ratujmyGrabiszyński
2018-01-14,12:15:40,GoTracz,"Po raz kolejny o prawach kobiet rozmawiają sami mężczyźni. A tyle wspaniałych kobiet jest zaangażowanych w @RatujmyKobiety, działa społecznie i politycznie. Ale panowie pewnie myślą, że wiedzą lepiej. Otóż: nie wiecie! https://twitter.com/DziewuchyLodz/status/952493854296600576 …",https://twitter.com/GoTracz/status/952499452090175488,41,12,5,RatujmyKobiety,
2018-01-13,16:04:07,GoTracz,"W Krakowie na proteście ""#czarnyprotest Koniec kompromisów"". @Zieloni zawsze tam, gdzie trzeba. Dziękujemy @razemmalopolska za zaproszenie! @RatujmyKobiety pic.twitter.com/ZJ3teyg9ls",https://twitter.com/GoTracz/status/952194556665135104,45,9,0,"Zieloni,razemmalopolska,RatujmyKobiety",#czarnyprotest
2018-01-13,08:37:07,GoTracz,"Dzień dobry ♥️W drodze do Krakowa, by pomóc w zazielenianiu samorządu 🌱🌳🍀Dawno dworca wrocławskiego nie wrzucałam, a wiem, że jak i ja bardzo go lubicie:)#zielonesejmiki #zielonerośnie #zielonesamorządy pic.twitter.com/ZTSartymqD",https://twitter.com/GoTracz/status/952082064240730112,33,5,0,,"#zielonesejmiki,#zielonerośnie,#zielonesamorządy"
2018-01-12,19:45:40,GoTracz,Już o 20:00 @KossakM - przewodniczący @Zieloni u Wojciecha Orlinskiego w @Radio_TOK_FM Radio już włączone :),https://twitter.com/GoTracz/status/951887923737219079,10,2,0,"KossakM,Zieloni,Radio_TOK_FM",
2018-01-11,18:04:53,GoTracz,"""Musimy zorganizować się same na 17 stycznia, by walczyć o prawa kobiet. Opozycja nas oszukała"" - @martalempart we Wrocławiu. Tylko my zostałyśmy na placu boju! #ratujmykobiety #PrawaKobiet pic.twitter.com/Mkfp1NBb9D",https://twitter.com/GoTracz/status/951500171350814721,43,15,4,martalempart,"#ratujmykobiety,#PrawaKobiet"
2018-01-11,18:00:23,GoTracz,Zaraz zaczynamy pod pregierzem! #RatujmyKobiety #PrawaKobiet #osk #siłakobiet pic.twitter.com/6CYBKt7jeK,https://twitter.com/GoTracz/status/951499037387173889,27,9,2,,"#RatujmyKobiety,#PrawaKobiet,#osk,#siłakobiet"
2018-01-11,15:24:43,GoTracz,"Ciężko nie być symetrystką, gdy patrzy się na polski parlament.W wyborach i do Sejmu, i do PE, i do samorządu wybierajmy polityków i polityczki, którzy wierzą, że ich głos coś znaczy. Po co nam inni? Do uciekania i wyciągania karty podczas głosowań nad obywatelskimi projektami? pic.twitter.com/YV4dzBimfg",https://twitter.com/GoTracz/status/951459861992296448,20,8,0,,
2018-01-10,17:04:09,GoTracz,"#SejmDoWymiany! Cały. Wstyd. Projekt @RatujmyKobiety , pod którym podpisały się tysiące osób, wg posłów i posłanek partii rządzącej i #ZjednoczonaOpozycja nie zasługuje nawet na wysłuchanie. @barbaraanowacka przemawia do pustej sali. pic.twitter.com/zVaL0f4lRD",https://twitter.com/GoTracz/status/951122497453416448,41,18,10,"RatujmyKobiety,barbaraanowacka","#SejmDoWymiany,#ZjednoczonaOpozycja"
2018-01-10,16:21:48,GoTracz,"Dobra wiadomość na dziś: obrońcy i obrończynie Puszczy Białowieskiej uniewinnieni przez Sąd Rejonowy w Hajnówce 💚💛🧡❤Sąd uznał, że aktywistki i aktywiści działali w stanie wyższej konieczności.#CałaPuszczaParkiemNarodowym #CPPN http://bialystok.wyborcza.pl/bialystok/7,35241,22878566,obroncy-puszczy-bialowieskiej-uniewinnieni-aktualizujemy.html …",https://twitter.com/GoTracz/status/951111842746781696,8,1,0,,"#CałaPuszczaParkiemNarodowym,#CPPN"
2018-01-09,12:17:37,GoTracz,@RudaZolza2106 Czekamy. Gorzej chyba być nie może.,https://twitter.com/GoTracz/status/950688004221407232,0,0,1,RudaZolza2106,
2018-01-09,12:13:39,GoTracz,Szyszko spadł. Natura się raduje 🌳🌲🌱🌿🐺🦊🦌🐗,https://twitter.com/GoTracz/status/950687003682721792,38,7,0,,
2018-01-07,16:42:44,GoTracz,"Wrocław - kolejne pobicie na tle rasowym :( Nadzieję w ludzi przywraca to, że znalazła się osoba, która stanęła w obronie Hindusa i próbowała powstrzymać oprychów. Hindus pobity na przystanku w centrum Wrocławia https://at9e8.app.goo.gl/FYJL ",https://twitter.com/GoTracz/status/950029945912389634,11,3,2,,
2018-01-07,12:11:19,GoTracz,We Wrocławiu trwa protest przeciwko przywilejom myśliwych. #NieDlaRzeczypospolitejMyśliwskiej pic.twitter.com/ceJ4O5kb9u,https://twitter.com/GoTracz/status/949961641105469440,97,18,0,,#NieDlaRzeczypospolitejMyśliwskiej
2018-01-05,20:18:36,GoTracz,@Zieloni @jozefowicz @KossakM @JakubKarczynski Dziękuję :),https://twitter.com/GoTracz/status/949359496132005890,0,0,0,"JakubKarczynski,KossakM,jozefowicz,Zieloni",
2018-01-05,11:42:32,GoTracz,"Wrocław, niedziela, godz. 12:00, ul. Oławska. Protest przeciwko proponowanemu przez myśliwych i dla myśliwych prawu łowieckiemu:  http://bit.ly/2Cu8FCU Organizowany przez @Fundacja_Viva i #WrocławianiePrzeciwkoMyśliwym Pokażmy, że nie zgdadzamy się na Rzeczpospolitą Myśliwską! pic.twitter.com/AzsM1v9DKg",https://twitter.com/GoTracz/status/949229624571121665,2,1,0,Fundacja_Viva,#WrocławianiePrzeciwkoMyśliwym
2018-01-05,11:35:14,GoTracz,"Tak głosowały @Nowoczesna, @Platforma_org i @nowePSL w sprawie przywilejów dla myśliwych. Ręka w rękę z PiS i Kukizem. Za sprawą tej ustawy myśliwi będą mogli wyrzucać z lasów ludzi i polować w rezerwatach. Warto podpisać apel  http://petycja.pracownia.org.pl/petycja/nie-dla-rzeczpospolitej-mysliwskiej … i być na protestach. https://twitter.com/NataliaSawka/status/949224820570550274 …",https://twitter.com/GoTracz/status/949227787411513344,19,8,3,"Nowoczesna,Platforma_org,nowePSL",
2018-01-04,18:40:14,GoTracz,Uniwersytet Wrocławski wysłał pracownikom i pracownicom kwieciste życzenia noworoczne. Adresaci nie znaleźli w nich informacji o niższych pensjach dla pracowników dydaktycznych od nowego roku. Nie było też osobnego pisma w tej sprawie.  to niedopuszczalne zaniedbanie :( https://twitter.com/ZieloniWro/status/948953142292615169 …,https://twitter.com/GoTracz/status/948972352355946496,7,4,0,,
