date,time,username,tweet,link,likes,retweets,replies,mentions,hashtags
2018-08-24,07:18:13,KatarzynaObara,@PrzybylskiCez @RobertRaczyski1 @MichalakJerzy @MarcinTorz @JHarlukowicz I tak właśnie będzie.,https://twitter.com/KatarzynaObara/status/1032859601853706240,1,0,2,"JHarlukowicz,MarcinTorz,MichalakJerzy,RobertRaczyski1,PrzybylskiCez",
2018-08-23,10:19:49,KatarzynaObara," http://www.gazetawroclawska.pl/wybory-2018/a/bezpartyjni-stawiaja-na-katarzyne-obarekowalska-zostanie-prezydentem-miasta,13434759/ …",https://twitter.com/KatarzynaObara/status/1032542915443212288,2,1,0,,
2018-07-05,13:44:58,KatarzynaObara,"@BezpartyjnyWroc @SutrykJacek @garcarzmarcin @JarosMichal @MichalakJerzy @tfurca @jowitaJ1 @wiemjuzwszystko O ile mi wiadomo nie ma jeszcze kampanii, więc rozmowa o „kandydatach” jest bezprzedmiotowa. Proponuję Pani poczekać na oficjalną rejestracją komitetów i wówczas zobaczymy kto „gra na kogo”.",https://twitter.com/KatarzynaObara/status/1014837539616804869,1,0,1,"wiemjuzwszystko,jowitaJ1,tfurca,MichalakJerzy,JarosMichal,garcarzmarcin,SutrykJacek,BezpartyjnyWroc",
2018-07-05,13:00:49,KatarzynaObara,@BezpartyjnyWroc @SutrykJacek @garcarzmarcin @JarosMichal @MichalakJerzy @tfurca @jowitaJ1 Dość zawiła logika muszę przyznać...,https://twitter.com/KatarzynaObara/status/1014826427097772032,1,0,1,"jowitaJ1,tfurca,MichalakJerzy,JarosMichal,garcarzmarcin,SutrykJacek,BezpartyjnyWroc",
2018-07-05,11:56:57,KatarzynaObara," https://www.tuwroclaw.com/wiadomosci,katarzyna-obara-kowalska-powalczy-o-fotel-prezydenta-wroclaw-musi-byc-produktem-uzytkowym-a-nie-marketingowym,wia5-3266-42317.html …",https://twitter.com/KatarzynaObara/status/1014810356697456640,3,1,3,,
2018-07-05,11:30:32,KatarzynaObara,"@SutrykJacek @garcarzmarcin @JarosMichal @MichalakJerzy @tfurca, obiecuję, że tak właśnie zrobimy 💪 @BezpartyjnyWroc zaprasza do wspólnego projektu dla Wrocławia wszystkich, którzy bezpartyjność mają w DNA. Wrocław nie może być zakładnikiem partyjnych układów. Rekomendacje to start, którego celem jest zmiana na lepsze we Wrocławiu.",https://twitter.com/KatarzynaObara/status/1014803705252667392,1,0,3,"tfurca,MichalakJerzy,JarosMichal,garcarzmarcin,SutrykJacek,BezpartyjnyWroc",
2018-07-04,09:21:22,KatarzynaObara,"Wrocław to moje ukochane miasto ❤️ wiem, że jego przyszłość leży w rękach Wrocławian, którzy to Miasto kochają jak ja ❣️ dołączcie do nas ‼️ jest nas akurat tylu, aby stworzyć Wrocław niezależny od partyjnych zobowiązań 💪 https://twitter.com/bezpartyjnywroc/status/1014260000020140032 …",https://twitter.com/KatarzynaObara/status/1014408813649252352,1,0,4,,
2018-06-29,10:45:10,KatarzynaObara,@andrzej_jozwik We too...:-),https://twitter.com/KatarzynaObara/status/1012617961658552322,2,0,0,andrzej_jozwik,
2018-06-26,10:54:05,KatarzynaObara,@WildPatryk SRD „short range devices”... google wie ...:-),https://twitter.com/KatarzynaObara/status/1011533044778520577,2,0,0,WildPatryk,
2018-06-11,06:30:03,KatarzynaObara,@tommykatowice Bardzo dziękuje !,https://twitter.com/KatarzynaObara/status/1006030779296698370,2,0,0,tommykatowice,
2018-06-05,10:24:28,KatarzynaObara,"Tylko 2% Polaków ma legitymacje partyjne, jesteśmy więc w zdecydowanej większości, z krwi i kości - bezpartyjni. Zróbmy coś z tym! Samorządy nie mogą być zakładnikami partyjnych „układanek”! Samorządy zasługują na więcej... https://twitter.com/radiorodzina/status/1003913834145468416 …",https://twitter.com/KatarzynaObara/status/1003915445924220928,4,0,2,,
2018-06-05,10:21:54,KatarzynaObara," http://www.radiorodzina.pl/19092,katarzyna-obara-w-porannygosc-wrocaw-zasuguje-na-bezpartyjnego-kandydata/ …",https://twitter.com/KatarzynaObara/status/1003914797983895553,1,0,0,,
2018-05-17,21:32:20,KatarzynaObara,Wrocław zasługuje na dyskusję! https://twitter.com/bartekciazynski/status/997191066406268928 …,https://twitter.com/KatarzynaObara/status/997198149100998656,1,0,0,,
